sample_number	sample_name	trial_number	trial_name	cultivation	cultivar	condition	tolerance	libsize_raw	libsize_mapped
1	t01_a_c    	1	MPIFeld2011	field	a	control	sensitive	11933625	9801664
2	t01_d_c    	1	MPIFeld2011	field	d	control	tolerant	11505686	9316313
3	t01_m_c    	1	MPIFeld2011	field	m	control	sensitive	11253755	9448155
4	t01_s_c   	1	MPIFeld2011	field	s	control	tolerant	11793559	9795074
5	t01_a_d    	1	MPIFeld2011	field	a	stress	sensitive	11610871	9579527
6	t01_d_d    	1	MPIFeld2011	field	d	stress	tolerant	11659289	9551603
7	t01_m_d    	1	MPIFeld2011	field	m	stress	sensitive	11568562	9569026
8	t01_s_d    	1	MPIFeld2011	field	s	stress	tolerant	12387862	10289109
9	t02_a_c    	2	JKI-GWH1	greenhouse	a	control	sensitive	12062887	9969338
10	t02_d_c    	2	JKI-GWH1	greenhouse	d	control	tolerant	11695980	9734243
11	t02_m_c    	2	JKI-GWH1	greenhouse	m	control	sensitive	11094405	9214793
12	t02_s_c    	2	JKI-GWH1	greenhouse	s	control	tolerant	11798489	9621578
13	t02_a_d    	2	JKI-GWH1	greenhouse	a	stress	sensitive	12257682	9798301
14	t02_d_d    	2	JKI-GWH1	greenhouse	d	stress	tolerant	11944563	9742435
15	t02_m_d   	2	JKI-GWH1	greenhouse	m	stress	sensitive	11705361	9573502
16	t02_s_d    	2	JKI-GWH1	greenhouse	s	stress	tolerant	12342816	10098348
17	t03_a_c    	3	MPITest1.2	greenhouse	a	control	sensitive	12255400	10198255
18	t03_d_c    	3	MPITest1.2	greenhouse	d	control	tolerant	12285214	10268355
19	t03_m_c   	3	MPITest1.2	greenhouse	m	control	sensitive	12470075	10347211
20	t03_s_c    	3	MPITest1.2	greenhouse	s	control	tolerant	11669434	9678713
21	t03_a_d    	3	MPITest1.2	greenhouse	a	stress	sensitive	11625726	9800951
22	t03_d_d    	3	MPITest1.2	greenhouse	d	stress	tolerant	11784131	9874419
23	t03_m_d    	3	MPITest1.2	greenhouse	m	stress	sensitive	12462653	10311058
24	t03_s_d    	3	MPITest1.2	greenhouse	s	stress	tolerant	12170236	10069960
25	t04_a_c    	4	MPITest2	greenhouse	a	control	sensitive	11812052	9756917
26	t04_d_c    	4	MPITest2	greenhouse	d	control	tolerant	12199070	10189411
27	t04_m_c    	4	MPITest2	greenhouse	m	control	sensitive	12282323	10260882
28	t04_s_c    	4	MPITest2	greenhouse	s	control	tolerant	11982641	9822040
29	t04_a_d    	4	MPITest2	greenhouse	a	stress	sensitive	12067964	10021106
30	t04_d_d   	4	MPITest2	greenhouse	d	stress	tolerant	11742997	9776262
31	t04_m_d    	4	MPITest2	greenhouse	m	stress	sensitive	12353727	10290522
32	t04_s_d    	4	MPITest2	greenhouse	s	stress	tolerant	12216392	10178034
33	t05_a_c    	5	JKIFeld2012	field	a	control	sensitive	21221483	16179843
34	t05_d_c   	5	JKIFeld2012	field	d	control	tolerant	18141174	15294292
35	t05_m_c    	5	JKIFeld2012	field	m	control	sensitive	18748087	15758534
36	t05_s_c    	5	JKIFeld2012	field	s	control	tolerant	20200294	16967343
37	t05_a_d    	5	JKIFeld2012	field	a	stress	sensitive	22057484	17561028
38	t05_d_d    	5	JKIFeld2012	field	d	stress	tolerant	19026246	15621340
39	t05_m_d    	5	JKIFeld2012	field	m	stress	sensitive	18367098	15148756
40	t05_s_d    	5	JKIFeld2012	field	s	stress	tolerant	20302847	16513184
41	t06_a_c    	6	MPIFeld2012	field	a	control	sensitive	19742474	16075381
42	t06_d_c    	6	MPIFeld2012	field	d	control	tolerant	19863047	16599721
43	t06_m_c    	6	MPIFeld2012	field	m	control	sensitive	17232869	14300051
44	t06_s_c    	6	MPIFeld2012	field	s	control	tolerant	19673398	16407732
45	t06_a_d   	6	MPIFeld2012	field	a	stress	sensitive	19790599	15500307
46	t06_d_d    	6	MPIFeld2012	field	d	stress	tolerant	19272906	15798290
47	t06_m_d    	6	MPIFeld2012	field	m	stress	sensitive	17343630	14385334
48	t06_s_d 	6	MPIFeld2012	field	s	stress	tolerant	15819457	13202794
