"logFC"	"logCPM"	"PValue"	"FDR"
"EPlSTUG00000000001"	-0.948461067920619	-1.63213268674823	0.0688717833091918	0.474682696375832
"EPlSTUG00000000051"	0.276348531076485	9.97917499024917	0.190440646812215	0.68818516793685
"EPlSTUG00000000085"	0.247051397187718	-1.38384533511867	0.648914393363996	0.938547364906874
"EPlSTUG00000000096"	0.0133661438875212	-1.51413060652356	1	1
"EPlSTUG00000000099"	1.01760420331502	-0.513932176165907	0.137833863180881	0.622154039080169
"EPlSTUG00000000142"	0.407236293473909	-1.9297640889276	0.59317916798097	0.925077461873901
"EPlSTUG00000000187"	0.306825732621186	0.421425988817931	0.318878137247974	0.795840358110789
"EPlSTUG00000000226"	0.0991483342908725	-0.782745611361738	0.799245702824608	0.980145801877509
"EPlSTUG00000000274"	0.259359255585644	1.98430570757319	0.372534127331758	0.829662771438861
"EPlSTUG00000000305"	-0.107027817679686	-1.89485457272614	1	1
"EPlSTUG00000000313"	0.236090144349425	-0.198988495953747	0.572622325862294	0.918607955129697
"EPlSTUG00000000365"	0.437219377025441	2.49648613930493	0.121700222476158	0.59236609230109
"EPlSTUG00000000370"	-0.595441793361731	-1.62557644081965	0.279519228688611	0.770197652951582
"EPlSTUG00000000380"	1.00696542922013	-1.89754793647383	0.117135054154923	0.585566836624499
"EPlSTUG00000000413"	-1.26776843882778	-0.987594630289929	0.0109051380935965	0.21049604120022
"EPlSTUG00000000433"	-0.762358788962109	-0.822405057155468	0.111135917827107	0.573599678593629
"EPlSTUG00000000435"	-0.217479758340863	-1.28789946535416	0.774603432624445	0.974160191136222
"EPlSTUG00000000442"	0.575199697369641	1.42476447583049	0.114859269207685	0.58104957870486
"EPlSTUG00000000452"	0.038094736607672	-1.94647229961193	1	1
"EPlSTUG00000000465"	0.278431965565309	-0.596067256609385	0.684673048822451	0.949267423668068
"EPlSTUG00000000508"	0.986255504268831	-1.10719155287518	0.0282039531568041	0.326594701295143
"EPlSTUG00000000538"	0.113223702130091	-1.83134360699802	1	1
"EPlSTUG00000000555"	0.0947230188766931	6.06999097947734	0.629263056413664	0.934163799450134
"EPlSTUG00000000569"	0.308388104848767	-0.215900125786482	0.490312087405241	0.886474455406016
"EPlSTUG00000000573"	1.69202795662279	-1.90506550931271	0.00601843498690512	0.152650636131405
"EPlSTUG00000000593"	-0.782628149894727	-1.6506158404585	0.134033684885109	0.616192568399241
"EPlSTUG00000000620"	0.253983644449199	-1.18907507180476	0.801380934932059	0.980179243809534
"EPlSTUG00000000662"	1.04078922464523	-0.422587500462324	0.0109743137848048	0.210805804622032
"EPlSTUG00000000734"	-0.00976646108097829	-2.07867570590839	1	1
"EPlSTUG00000000741"	-0.185071818226682	-1.30675018543414	0.819189976835039	0.98339191709223
"EPlSTUG00000000763"	0.309270505893165	-1.60404682682973	0.583647960474015	0.923201926201086
"EPlSTUG00000000783"	1.04078935628081	-0.422587500462324	0.0109741805716457	0.210805804622032
"EPlSTUG00000000808"	-0.0157051304971108	-0.318505579872321	1	1
"EPlSTUG00000000824"	0.231809103278902	-0.384882334027792	0.488799024682322	0.885913250525354
"EPlSTUG00000000839"	-0.594947126823815	-0.161971631907625	0.0510030291433603	0.421129564607798
"EPlSTUG00000000853"	-0.527908285710407	-0.707721443612024	0.331148129317165	0.804706554323103
"EPlSTUG00000000869"	0.67309909643727	-0.152260289313596	0.0359170017760583	0.365233221644021
"EPlSTUG00000000874"	-0.0477132711217558	-1.33070341423957	0.938119326017401	1
"EPlSTUG00000000883"	0.0791441850244282	-0.566831971330957	0.909603719104604	1
"EPlSTUG00000000897"	0.588160442457805	-1.28736055993393	0.299296874588869	0.784223288474789
"EPlSTUG00000000898"	-0.0396246062289544	4.61786761428806	0.854067769198205	0.991432093541289
"EPlSTUG00000000936"	0.899108184293406	-1.44062258876801	0.0721741891604065	0.484207025656331
"EPlSTUG00000000956"	-0.331094754443197	0.541631836228588	0.197484302761137	0.694729724944105
"EPlSTUG00000000982"	-0.664318714313605	-2.00457364818248	0.358815003439879	0.823487269648461
"EPlSTUG00000001005"	-0.623855988949769	-1.87159735458311	0.256394432277165	0.750937709605905
"EPlSTUG00000001019"	0.166887796936089	-1.21684363531279	0.740556540187069	0.966228723957273
"EPlSTUG00000001055"	0.147838433247687	-1.08683775970119	0.683184239341679	0.948454650691181
"EPlSTUG00000001088"	-0.239928484440616	0.428824293631627	0.498544163970155	0.890690384144097
"EPlSTUG00000001109"	0.721347353375287	-2.10512738894872	0.210317354574086	0.708662740256868
"EPlSTUG00000001112"	0.311481279208785	-1.88675896030693	0.809367597265307	0.981259790659359
"EPlSTUG00000001123"	0.478528624579668	0.116932477168592	0.281596286289175	0.772129896130993
"EPlSTUG00000001127"	0.359517469356404	0.80105722599508	0.453169841228552	0.867859196531799
"EPlSTUG00000001153"	0.0471797916918544	-1.86037819930147	0.901856196488704	0.999918264997241
"EPlSTUG00000001213"	0.536730556072069	0.643463163089252	0.386551830794724	0.837664007606308
"EPlSTUG00000001217"	-0.144245639752684	-1.6208148854953	0.861597683997272	0.992102097354521
"EPlSTUG00000001246"	1.36625744327759	-1.75596710842616	0.0508768836940612	0.421129564607798
"EPlSTUG00000001262"	0.589525186783371	1.32791711228119	0.233383952419087	0.732626579493624
"EPlSTUG00000001292"	-0.558214637824543	-2.01412738061208	0.560961969420277	0.913327486332726
"EPlSTUG00000001324"	-0.442279477988935	-1.97161174489524	0.516405670906574	0.896916939066682
"EPlSTUG00000001349"	-0.136397962392653	-0.569788186545987	0.778629301423813	0.975305463051269
"EPlSTUG00000001374"	-0.885133471220713	-0.299717352175513	0.027596821057776	0.324359907712269
"EPlSTUG00000001390"	0.539674826265358	-1.67063513117397	0.422224412383696	0.856578662674176
"EPlSTUG00000001408"	0.603306380648979	-1.41259016626551	0.384461766172781	0.836783057558037
"EPlSTUG00000001425"	0.0380947063143514	-1.94647229961193	1	1
"EPlSTUG00000001430"	0.707786347325783	-1.7836170487787	0.249105438536631	0.744630820259486
"EPlSTUG00000001478"	0.0489342614829668	3.9166388157184	0.870295803542337	0.993551332476055
"EPlSTUG00000001484"	0.453472822915045	-1.50214776244022	0.478753621145065	0.881435261387754
"EPlSTUG00000001489"	0.0380950480773409	-1.94647229961193	1	1
"EPlSTUG00000001500"	-0.292710401517493	-1.86478305715354	0.632529051491505	0.934631416118678
"EPlSTUG00000001524"	0.369757792524023	-1.92020869473921	0.596685690363304	0.925747939459133
"EPlSTUG00000001545"	-0.554656230695843	-1.0486340393963	0.288425981002121	0.777212917091655
"EPlSTUG00000001560"	-0.184815429282178	-0.764194160304396	0.681371678851911	0.947728849477927
"EPlSTUG00000001579"	0.139114897054958	-0.545938253231633	0.815613808510802	0.982440951360288
"EPlSTUG00000001634"	-0.661982828642277	-1.74274142215512	0.237246244933231	0.736383625140421
"EPlSTUG00000001640"	0.198202399578963	8.27982583090371	0.612982156419567	0.931644231420227
"EPlSTUG00000001653"	-0.187423555300486	-0.766331023405515	0.650245896315225	0.938938952226998
"EPlSTUG00000001659"	0.233352203885807	-0.278019967810245	0.566159340395687	0.915748284195749
"EPlSTUG00000001661"	0.608952896786727	-1.35081858100466	0.182480112050362	0.68058505749374
"EPlSTUG00000001671"	-0.323598407275687	0.825007519386151	0.461993038639104	0.872939414025462
"EPlSTUG00000001683"	0.0013230336574549	-1.83978157204009	1	1
"EPlSTUG00000001695"	0.0539852595202909	5.14484650434565	0.95568701995696	1
"EPlSTUG00000001699"	0.0820865337549949	-0.501787063084233	0.893155794557899	0.99851576364557
"EPlSTUG00000001716"	0.454625582174791	-1.90268661360491	0.533067586430871	0.904402313173973
"EPlSTUG00000001731"	0.370857542124488	10.5062501291134	0.171934804994812	0.666366628418674
"EPlSTUG00000001749"	0.551268019607412	0.0704046632497383	0.156452588824159	0.646987777719875
"EPlSTUG00000001758"	0.37836478070259	-1.57563274169303	0.514921567957176	0.896266606870575
"EPlSTUG00000001793"	-0.679681224623274	0.028595037759261	0.488757621322109	0.885913250525354
"EPlSTUG00000001796"	-0.039624602443209	4.61786761428806	0.854067120764745	0.991432093541289
"EPlSTUG00000001798"	1.06988075993002	-1.7423938873852	0.0779275238115398	0.499174160502052
"EPlSTUG00000001842"	0.739809676174259	-1.56438679261854	0.263819302467309	0.756642837421068
"EPlSTUG00000001848"	0.532339762686847	-0.310767060010328	0.117231519095175	0.585566836624499
"EPlSTUG00000001882"	-0.0178744683428622	0.915690846829808	0.943654171969878	1
"EPlSTUG00000001956"	0.615798962204543	-1.97346866340804	0.324188529002004	0.800590170130499
"EPlSTUG00000002004"	0.41825671864075	-0.510418433001458	0.273751928514828	0.76445399277307
"EPlSTUG00000002030"	0.331761196153176	-1.65185674947315	0.676619326839386	0.945734845573708
"EPlSTUG00000002045"	-0.0324661306144197	-1.78279449608158	1	1
"EPlSTUG00000002090"	0.0380951551202143	-1.94647229961193	1	1
"EPlSTUG00000002107"	0.640415987334903	-1.97323327876393	0.363275162934116	0.825366582680762
"EPlSTUG00000002115"	0.177617448050662	-1.866694922005	0.908231216678863	1
"EPlSTUG00000002128"	-0.247872002959277	-0.504962006956262	0.454398707830178	0.869179790623216
"EPlSTUG00000002151"	-0.0406546857866496	-0.87282225072101	0.956267200364647	1
"EPlSTUG00000002173"	0.362922731217661	-1.41101912804311	0.391469672621554	0.840289440958116
"EPlSTUG00000002201"	0.827271252404018	-1.65545396343063	0.418555607838671	0.854670258677365
"EPlSTUG00000002206"	0.176668456105842	4.54553699741197	0.451820932925608	0.867701421376266
"EPlSTUG00000002226"	0.974075667137259	-1.68357489204985	0.0504172353929621	0.420800352735191
