"logFC"	"logCPM"	"PValue"	"FDR"
"EPlSTUG00000000001"	-0.0198294163039439	-1.6810126041466	1	1
"EPlSTUG00000000051"	0.0709707858056572	9.52836355597524	0.56435358996902	0.885870707341109
"EPlSTUG00000000085"	0.246998270426862	-0.888029054079514	0.604197736048058	0.905648673191824
"EPlSTUG00000000096"	-0.298868976191425	-1.39534915065587	0.69948623003618	0.943359621884421
"EPlSTUG00000000099"	-0.821240472723159	-0.800431266671916	0.478295251278422	0.84020671092588
"EPlSTUG00000000142"	-0.118252852013673	-1.66019307633198	1	1
"EPlSTUG00000000187"	-0.160136948613643	0.772101138906374	0.585505006917115	0.897866931968753
"EPlSTUG00000000226"	0.387992336487446	-0.467312946333968	0.392956320836689	0.781153112069127
"EPlSTUG00000000274"	-0.514676012127721	0.881761692849729	0.0504744235706488	0.292699562846531
"EPlSTUG00000000305"	0.23849428315192	-1.62297847668235	0.787116092599665	0.969075526572236
"EPlSTUG00000000313"	0.191478506590142	0.375903261858728	0.487566834709625	0.844252298649761
"EPlSTUG00000000365"	0.209112793547531	2.59247756406913	0.437612094663021	0.813870438336667
"EPlSTUG00000000370"	-0.281177657046897	-1.5075075119685	0.690726151136584	0.940122473229179
"EPlSTUG00000000380"	0.933832044890758	-1.58189120729746	0.130149828330207	0.482895845969354
"EPlSTUG00000000413"	-0.848688776256212	-1.41913976604311	0.162143553024316	0.537844224495744
"EPlSTUG00000000433"	-0.882674621865002	-1.20244417978041	0.14688871830496	0.512484586029968
"EPlSTUG00000000435"	-0.441587966367843	-1.06029028136849	0.50620420314532	0.855232960811475
"EPlSTUG00000000442"	0.109152396860083	1.78415423629813	0.728199097259534	0.951807113774144
"EPlSTUG00000000452"	0.277273091412788	-1.69641183877321	0.71282772117288	0.94711110738133
"EPlSTUG00000000465"	-0.128711904100194	-0.856615756117712	0.867946356861814	0.990241059449487
"EPlSTUG00000000508"	0.0970285625417788	-1.17609749068488	0.923477943036177	0.999625126171478
"EPlSTUG00000000538"	0.158180698789354	-1.63721960079135	0.872289627520764	0.991575740835689
"EPlSTUG00000000555"	0.145766455074065	5.59906119858425	0.36886242674905	0.761714468021407
