"logFC"	"logCPM"	"PValue"	"FDR"
"PGSC0003DMG400000013"	-1.81085058973763	0.0778597800240728	0.00149469552765112	0.0335055512642419
"PGSC0003DMG400000053"	-0.794552021510387	3.75654325066431	0.00163737148539308	0.0356524881309768
"PGSC0003DMG400000066"	1.66749303743883	5.00409472808869	3.58360539929737e-06	0.000437336993376075
"PGSC0003DMG400000079"	1.19245057202909	11.7461969803558	0.000581451109506	0.0173135776224563
"PGSC0003DMG400000090"	-0.525703485981676	5.57175015813277	0.000301892155439151	0.0110833872861936
"PGSC0003DMG400000101"	-0.8891829691332	3.46820040211738	0.00148488153784086	0.0333870125717009
"PGSC0003DMG400000114"	-0.408851946831891	5.68865617844281	0.00212196825637075	0.0429040133967389
"PGSC0003DMG400000123"	-1.08848489628817	3.85600652212182	8.16074791894728e-06	0.000784535718763801
"PGSC0003DMG400000128"	0.442882533902035	5.64615276966999	0.00108595022879006	0.0265790431944203
"PGSC0003DMG400000144"	-0.999328916629511	0.373613266356958	0.00177074876743666	0.0377492341218862
"PGSC0003DMG400000146"	-0.848813507671082	2.67406612462774	0.000493064559381473	0.0156942692140069
"PGSC0003DMG400000184"	-1.34050426554455	6.42792606246534	2.47493866699033e-06	0.000333162837432458
"PGSC0003DMG400000206"	0.77915002381206	3.8132386446244	1.30594888195944e-06	0.000220533155005896
"PGSC0003DMG400000228"	0.617580705562259	3.95437521350083	0.000266036466250557	0.0101565413688507
"PGSC0003DMG400000286"	0.544996397134802	5.32114087324344	4.77880763163771e-05	0.00291993054485362
"PGSC0003DMG400000288"	-0.550458118420637	7.21146345159681	0.00226866388671351	0.0447679411251027
"PGSC0003DMG400000292"	-0.500506384816984	7.04430995990659	0.00152401372674492	0.0340152493794898
"PGSC0003DMG400000342"	-0.502111220745411	3.89010731034169	0.0012094372560192	0.0287044217805989
"PGSC0003DMG400000345"	0.541017154562419	6.57684316899124	6.23247259749827e-05	0.00362802898096712
"PGSC0003DMG400000379"	-0.634856612185348	5.5147020206567	0.000367037047937616	0.0126485860546608
"PGSC0003DMG400000409"	0.464342387664581	5.79125526406561	0.00146602760829271	0.0331281203669894
"PGSC0003DMG400000417"	-0.979078796911581	3.72730967589459	0.000834352683020642	0.0222087326934619
"PGSC0003DMG400000444"	1.19228495405716	7.94618335016933	0.000666643896614445	0.0189758569954812
"PGSC0003DMG400000448"	-0.688108989691108	7.4168535350448	2.14593871081098e-06	0.000304746878679234
"PGSC0003DMG400000460"	-0.573865990020207	4.21401818792366	0.000440827549763277	0.0144223150014958
"PGSC0003DMG400000476"	-1.15980927770931	1.12759560248956	4.40232335049104e-05	0.0027483683409853
"PGSC0003DMG400000478"	1.26277950835586	0.754700389210506	0.00199848154787212	0.041289171931497
"PGSC0003DMG400000484"	-0.778794419526596	5.2263122395767	0.00217866337628036	0.0435833851573857
"PGSC0003DMG400000494"	-0.450265019222552	7.16350836303522	0.000119319454783167	0.00582973653747778
"PGSC0003DMG400000523"	-0.942880553299225	2.45494040142045	0.00146119699799124	0.0330701380123307
"PGSC0003DMG400000537"	-0.372709180052023	6.38305943897629	0.00187909289567284	0.0393988978780049
"PGSC0003DMG400000570"	-1.18146060033086	4.6038669748837	0.000726590456492862	0.0202234854714642
"PGSC0003DMG400000572"	0.760525261850338	6.96182828071586	5.18135071294827e-09	3.52413659281213e-06
"PGSC0003DMG400000577"	0.362214123496237	5.27375305434229	0.00206302044761803	0.0421175564685116
"PGSC0003DMG400000578"	-0.562195323923822	5.84418254000832	0.000923267193517966	0.023969917104353
"PGSC0003DMG400000579"	0.455726979866764	5.83209335723537	0.000260500139174935	0.0100191764838026
"PGSC0003DMG400000653"	-1.15865460174155	4.75193609394395	3.59309831563527e-07	8.14624728648326e-05
"PGSC0003DMG400000654"	0.75473138964876	5.16100442910487	8.63713911421695e-08	2.68958430778375e-05
"PGSC0003DMG400000672"	0.8226397177104	5.06427018267105	4.82843381145978e-09	3.37285676462134e-06
"PGSC0003DMG400000676"	-1.11929585366852	4.09997427886565	8.11376426681374e-06	0.000784535718763801
"PGSC0003DMG400000709"	-1.58375150266402	0.711611191342583	0.000902039978363548	0.0235734330442713
"PGSC0003DMG400000783"	-1.56571904687508	8.39181803832568	3.47328009060286e-05	0.00232565795911196
"PGSC0003DMG400000811"	-2.54067533038438	4.36595418387682	6.55990336300073e-08	2.38798961014249e-05
"PGSC0003DMG400000836"	-0.738469516734222	3.10571457965619	0.0023842594122958	0.0462639405181662
"PGSC0003DMG400000869"	-2.9314680308726	0.64887278593885	7.15871463084212e-05	0.00398051518882593
"PGSC0003DMG400000918"	0.489570755667063	3.92032634375036	0.000976550434645949	0.0248166969897867
"PGSC0003DMG400000980"	0.761884034442504	2.56466979323911	6.55942430584016e-05	0.00376591471920793
"PGSC0003DMG400000995"	0.528774449020603	4.52301945100054	4.79822422142169e-05	0.00292487979308644
"PGSC0003DMG400000997"	-1.31102133089776	3.91598969773868	0.000292779817424362	0.0108257327055079
"PGSC0003DMG400001006"	-0.807855170160952	4.5952827474504	0.000259869528855139	0.010009817947526
"PGSC0003DMG400001015"	-1.81697720819379	-0.0665046893470784	1.49457732628462e-06	0.00023844966404415
"PGSC0003DMG400001016"	-1.46661980825146	0.602539607926392	0.000843329242308672	0.0223679052194076
"PGSC0003DMG400001038"	-0.94441536124754	3.05640401180957	0.000139175021258791	0.00649299205677745
"PGSC0003DMG400001048"	0.662172800907649	2.0488544716499	0.00208052740669715	0.042374555834117
"PGSC0003DMG400001066"	-1.04713393601758	3.3355792928172	0.00101475891993094	0.0253896021728317
"PGSC0003DMG400001127"	-0.896583091575477	3.43568032588554	4.72333971803837e-06	0.000521707001506067
"PGSC0003DMG400001128"	0.65103235914455	2.94903010803867	0.00038932643561645	0.0132227740538013
"PGSC0003DMG400001148"	0.801968895768823	9.42829366678311	7.67709582267012e-10	1.00946181981305e-06
"PGSC0003DMG400001191"	0.503935136874129	7.61363950437061	0.000113173458871772	0.00560145853972242
"PGSC0003DMG400001197"	-0.850063266160557	1.65020490737102	0.000792238007055867	0.0213738867749122
"PGSC0003DMG400001310"	0.469330493338259	5.1741097062491	0.00245231180147342	0.047199644848229
"PGSC0003DMG400001314"	-0.43686743266127	5.78755318622801	0.000196011422664962	0.0081946673741067
"PGSC0003DMG400001369"	-0.969148602261273	5.27886268810769	0.000749072270808227	0.0206402152572595
"PGSC0003DMG400001393"	-0.844853198258522	5.6039306131076	3.58769715250794e-07	8.14624728648326e-05
"PGSC0003DMG400001434"	-1.54819882922917	4.58351702718742	6.37585568577271e-06	0.000651345320373445
"PGSC0003DMG400001442"	1.02432353297694	8.51492140872716	2.79708052882122e-05	0.00200814842633092
"PGSC0003DMG400001443"	-0.503160390046543	4.37816376940947	0.000299293519071185	0.0110192881679684
"PGSC0003DMG400001462"	-1.36328230831521	4.11771081656048	0.000510502487847113	0.0159739071439425
"PGSC0003DMG400001545"	0.448257632910119	5.35180047751773	0.000216767227101501	0.00879523665881539
"PGSC0003DMG400001646"	0.540561424684726	5.69962538699874	0.000495925082214079	0.0157611013383508
"PGSC0003DMG400001658"	0.610570629591616	6.2591063087498	2.34119522660178e-06	0.000320161544056876
"PGSC0003DMG400001661"	0.469226241925775	5.77130641735205	0.00104413495762197	0.0258246048944474
"PGSC0003DMG400001690"	0.662052873904447	5.04069031936687	2.74052166634175e-06	0.000362331002539059
"PGSC0003DMG400001718"	0.567910597826677	6.91265528415589	1.79844411233068e-05	0.00145199258781179
"PGSC0003DMG400001756"	-1.48629462859935	0.380498162345157	0.0017909624037414	0.0380042810238918
"PGSC0003DMG400001759"	0.562516942738786	4.77256430045689	0.000557403346791535	0.0168584663748429
"PGSC0003DMG400001771"	0.862961685119903	2.59682496734876	0.000535552065596016	0.016380921523544
"PGSC0003DMG400001774"	-1.7243997734993	0.793843189880058	2.83032415215455e-06	0.000367600794153702
"PGSC0003DMG400001775"	-0.449328178616345	5.63122377320396	0.000969698203725173	0.0247167847864702
"PGSC0003DMG400001809"	-0.725605681768692	6.05671761643008	0.00144618445931647	0.0328593935468269
"PGSC0003DMG400001849"	0.681887054200259	5.20864713658676	1.21371022755188e-05	0.00106337473021376
"PGSC0003DMG400001865"	-0.624894711656235	3.11133899097806	0.00202653422602479	0.0415919151990544
"PGSC0003DMG400001913"	-1.17303847030478	4.88635147284243	8.42023679502999e-07	0.000162410030003243
"PGSC0003DMG400001917"	0.452373254025178	3.78331357677296	0.00118864967464801	0.0285253848569661
"PGSC0003DMG400001923"	-1.72151781404648	3.09213732848471	0.000464625527698926	0.0150863208403347
"PGSC0003DMG400001948"	-2.06683072561886	1.12150917936769	0.000992081750400864	0.0250403758992781
"PGSC0003DMG400001961"	-0.492836304241777	6.92783303711264	0.000319201338901676	0.0114425489670634
"PGSC0003DMG400002000"	-0.548434532130051	5.868766293947	0.000693676212867683	0.0195091917856529
"PGSC0003DMG400002047"	-1.20328145195121	3.08276076714416	0.000504751131750485	0.0159289349831783
"PGSC0003DMG400002069"	0.68403493435977	4.2762115979339	5.28619273325763e-05	0.0031699985471874
"PGSC0003DMG400002101"	-3.63368127757729	-0.575080589511684	1.81452383320996e-05	0.00145199258781179
"PGSC0003DMG400002102"	-1.28129414447237	3.03250345819303	0.000121996945777559	0.005915821877236
"PGSC0003DMG400002125"	-1.84381900416363	-1.09890111974659	0.000161328482885909	0.00713989035731028
"PGSC0003DMG400002221"	0.817520522528657	5.57924885265244	2.10246423824444e-11	6.79253633770822e-08
"PGSC0003DMG400002274"	0.531250434584324	5.19473531059934	0.000126808427650281	0.00607919564971409
"PGSC0003DMG400002292"	-2.99056835514086	-0.087424590871351	0.00116593489303627	0.028163320790108
"PGSC0003DMG400002389"	0.76692614315461	7.67418990802007	2.28146015628989e-08	1.13397344614362e-05
"PGSC0003DMG400002405"	0.501072486572312	6.53921881703749	0.00102765174345982	0.0255282716901913
"PGSC0003DMG400002509"	0.421161679440086	3.74051547521994	0.0025638840708681	0.0483341704563507
"PGSC0003DMG400002524"	-1.21717433672834	5.40804586292245	3.8952461594423e-05	0.00253593280193818
"PGSC0003DMG400002537"	0.83854775978237	7.43335637864559	3.08226593337441e-09	2.48950766606234e-06
