pgsc_dmp	logFC	dir
PGSC0003DMP400000002	-0.0866880702165439	0
PGSC0003DMP400000003	-0.0866880702165439	0
PGSC0003DMP400000001	-0.0866880702165439	0
PGSC0003DMP400000005	1.45888192545495	0
PGSC0003DMP400000004	1.45888192545495	0
PGSC0003DMP400000009	-0.0571658232452616	0
PGSC0003DMP400000010	-0.106360850938029	0
PGSC0003DMP400000013	-0.106932747454347	0
PGSC0003DMP400000012	-0.106932747454347	0
PGSC0003DMP400000011	-0.106932747454347	0
PGSC0003DMP400000025	0.124048043154096	0
PGSC0003DMP400000026	0.124048043154096	0
PGSC0003DMP400000028	0.124048043154096	0
PGSC0003DMP400000027	0.124048043154096	0
PGSC0003DMP400000029	0.0245381833401725	0
PGSC0003DMP400000033	-0.0395014279402489	0
PGSC0003DMP400000032	-0.0395014279402489	0
PGSC0003DMP400000038	0.00324614931542392	0
PGSC0003DMP400000039	-2.07041693734629	-1
PGSC0003DMP400000043	0.376045864617303	0
PGSC0003DMP400000040	0.376045864617303	0
PGSC0003DMP400000042	0.376045864617303	0
PGSC0003DMP400000041	0.376045864617303	0
PGSC0003DMP400000044	-2.42981095196744	0
PGSC0003DMP400000045	-1.64291874100196	0
PGSC0003DMP400000047	0.290483969279478	0
PGSC0003DMP400000046	0.290483969279478	0
PGSC0003DMP400000048	0.290483969279478	0
PGSC0003DMP400000065	-0.560987363505066	0
PGSC0003DMP400000067	-0.560987363505066	0
PGSC0003DMP400000064	-0.560987363505066	0
PGSC0003DMP400000066	-0.560987363505066	0
PGSC0003DMP400000068	0.179282811034766	0
PGSC0003DMP400000073	-0.366971302961118	0
PGSC0003DMP400000074	-0.366971302961118	0
PGSC0003DMP400000071	-0.366971302961118	0
PGSC0003DMP400000072	-0.366971302961118	0
PGSC0003DMP400000076	-0.163357429682808	0
PGSC0003DMP400000078	0.976085009845345	0
PGSC0003DMP400000077	0.976085009845345	0
PGSC0003DMP400000084	0.0323097281957195	0
PGSC0003DMP400000088	0.0323097281957195	0
PGSC0003DMP400000083	0.0323097281957195	0
PGSC0003DMP400000087	0.0323097281957195	0
PGSC0003DMP400000086	0.0323097281957195	0
PGSC0003DMP400000085	0.0323097281957195	0
PGSC0003DMP400000089	0.645525260601848	0
PGSC0003DMP400000093	0.73403175779926	0
PGSC0003DMP400000095	-0.0360630952166461	0
PGSC0003DMP400000097	-0.147931030751047	0
PGSC0003DMP400000098	-0.147931030751047	0
PGSC0003DMP400000100	-0.147931030751047	0
PGSC0003DMP400000096	-0.147931030751047	0
PGSC0003DMP400000099	-0.147931030751047	0
PGSC0003DMP400000101	0.966732040311634	0
PGSC0003DMP400000102	-0.482015031055806	0
PGSC0003DMP400000106	-0.237777569329256	0
PGSC0003DMP400000104	-0.237777569329256	0
PGSC0003DMP400000105	-0.237777569329256	0
PGSC0003DMP400000107	-0.0694492728463535	0
PGSC0003DMP400000109	-0.0694492728463535	0
PGSC0003DMP400000108	-0.0694492728463535	0
PGSC0003DMP400000110	-0.0694492728463535	0
PGSC0003DMP400000112	-0.978441677466241	0
PGSC0003DMP400000113	-0.541442467381573	0
PGSC0003DMP400000114	-0.541442467381573	0
PGSC0003DMP400000115	0.0693578678674602	0
PGSC0003DMP400000117	-0.288293529957535	0
PGSC0003DMP400000116	-0.288293529957535	0
PGSC0003DMP400000118	-0.288293529957535	0
PGSC0003DMP400000119	0.442998565647902	0
PGSC0003DMP400000120	0.442998565647902	0
PGSC0003DMP400000121	0.442998565647902	0
PGSC0003DMP400000122	0.442998565647902	0
PGSC0003DMP400000123	0.178854847765163	0
PGSC0003DMP400000124	0.178854847765163	0
PGSC0003DMP400000128	0.885554168703977	0
PGSC0003DMP400000130	0.474291240150578	0
PGSC0003DMP400000129	0.474291240150578	0
PGSC0003DMP400000131	0.474291240150578	0
PGSC0003DMP400000149	-1.45178609644866	0
PGSC0003DMP400000151	0.187943316728423	0
PGSC0003DMP400000153	-0.486184214369422	0
PGSC0003DMP400000155	-0.486184214369422	0
PGSC0003DMP400000154	-0.486184214369422	0
PGSC0003DMP400000152	-0.486184214369422	0
PGSC0003DMP400000157	-0.00278163632357228	0
PGSC0003DMP400000156	-0.00278163632357228	0
PGSC0003DMP400000159	-0.0620141776056154	0
PGSC0003DMP400000158	-0.0620141776056154	0
PGSC0003DMP400000160	-0.0620141776056154	0
PGSC0003DMP400000162	-0.365029942890518	0
PGSC0003DMP400000161	-0.365029942890518	0
PGSC0003DMP400000164	-0.348889631847704	0
PGSC0003DMP400000163	-0.348889631847704	0
PGSC0003DMP400000165	-0.000454267657633001	0
PGSC0003DMP400000166	0.383210736373333	0
PGSC0003DMP400000167	-0.21559596390093	0
PGSC0003DMP400000168	-0.171642630658909	0
PGSC0003DMP400000169	-0.171642630658909	0
PGSC0003DMP400000170	0.0489116300528271	0
PGSC0003DMP400000172	0.0489116300528271	0
PGSC0003DMP400000171	0.0489116300528271	0
PGSC0003DMP400000173	-0.896536969323299	0
PGSC0003DMP400000176	0.302834561999828	0
PGSC0003DMP400000175	0.302834561999828	0
PGSC0003DMP400000181	-0.190069643636827	0
PGSC0003DMP400000183	-0.0361929635643088	0
PGSC0003DMP400000184	-0.0361929635643088	0
PGSC0003DMP400000185	0.0689744129680995	0
PGSC0003DMP400000187	0.0689744129680995	0
PGSC0003DMP400000186	0.0689744129680995	0
PGSC0003DMP400000188	-0.539427052597998	0
PGSC0003DMP400000190	0.00275477170046161	0
PGSC0003DMP400000189	0.00275477170046161	0
PGSC0003DMP400000194	-0.265498187741523	0
PGSC0003DMP400000195	-0.265498187741523	0
PGSC0003DMP400000197	0.075495835232549	0
PGSC0003DMP400000198	0.075495835232549	0
PGSC0003DMP400000196	0.075495835232549	0
PGSC0003DMP400000199	0.0666419861135056	0
PGSC0003DMP400000202	-0.0122972887460244	0
PGSC0003DMP400000201	-0.0122972887460244	0
PGSC0003DMP400000203	-0.336564535302201	0
PGSC0003DMP400000204	-0.191722752953736	0
PGSC0003DMP400000206	-0.191722752953736	0
PGSC0003DMP400000205	-0.191722752953736	0
