"sample_number"	"sample_name"	"trial_number"	"trial_name"	"cultivation"	"cultivar"	"condition"	"tolerance"	"libsize_raw"	"libsize_mapped"	"trial"	"cultivar_condition"	"cultivation_condition"	"tolerance_condition"	"cultivation_cultivar"	"cultivation_tolerance"	"trial_name_cultivar"
"1"	1	"t01_a_c    "	1	"MPIFeld2011"	"field"	"Alegria"	"control"	"sensitive"	11933625	9801664	"field_1"	"Alegria.control"	"field.control"	"sensitive.control"	"field.Alegria"	"field.sensitive"	"MPIFeld2011.Alegria"
"2"	2	"t01_d_c    "	1	"MPIFeld2011"	"field"	"Desiree"	"control"	"tolerant"	11505686	9316313	"field_1"	"Desiree.control"	"field.control"	"tolerant.control"	"field.Desiree"	"field.tolerant"	"MPIFeld2011.Desiree"
"3"	3	"t01_m_c    "	1	"MPIFeld2011"	"field"	"Milva"	"control"	"sensitive"	11253755	9448155	"field_1"	"Milva.control"	"field.control"	"sensitive.control"	"field.Milva"	"field.sensitive"	"MPIFeld2011.Milva"
"4"	4	"t01_s_c   "	1	"MPIFeld2011"	"field"	"Saturna"	"control"	"tolerant"	11793559	9795074	"field_1"	"Saturna.control"	"field.control"	"tolerant.control"	"field.Saturna"	"field.tolerant"	"MPIFeld2011.Saturna"
"5"	5	"t01_a_d    "	1	"MPIFeld2011"	"field"	"Alegria"	"drought stress"	"sensitive"	11610871	9579527	"field_1"	"Alegria.drought stress"	"field.drought stress"	"sensitive.drought stress"	"field.Alegria"	"field.sensitive"	"MPIFeld2011.Alegria"
"6"	6	"t01_d_d    "	1	"MPIFeld2011"	"field"	"Desiree"	"drought stress"	"tolerant"	11659289	9551603	"field_1"	"Desiree.drought stress"	"field.drought stress"	"tolerant.drought stress"	"field.Desiree"	"field.tolerant"	"MPIFeld2011.Desiree"
"7"	7	"t01_m_d    "	1	"MPIFeld2011"	"field"	"Milva"	"drought stress"	"sensitive"	11568562	9569026	"field_1"	"Milva.drought stress"	"field.drought stress"	"sensitive.drought stress"	"field.Milva"	"field.sensitive"	"MPIFeld2011.Milva"
"8"	8	"t01_s_d    "	1	"MPIFeld2011"	"field"	"Saturna"	"drought stress"	"tolerant"	12387862	10289109	"field_1"	"Saturna.drought stress"	"field.drought stress"	"tolerant.drought stress"	"field.Saturna"	"field.tolerant"	"MPIFeld2011.Saturna"
"33"	33	"t05_a_c    "	5	"JKIFeld2012"	"field"	"Alegria"	"control"	"sensitive"	21221483	16179843	"field_2"	"Alegria.control"	"field.control"	"sensitive.control"	"field.Alegria"	"field.sensitive"	"JKIFeld2012.Alegria"
"34"	34	"t05_d_c   "	5	"JKIFeld2012"	"field"	"Desiree"	"control"	"tolerant"	18141174	15294292	"field_2"	"Desiree.control"	"field.control"	"tolerant.control"	"field.Desiree"	"field.tolerant"	"JKIFeld2012.Desiree"
"35"	35	"t05_m_c    "	5	"JKIFeld2012"	"field"	"Milva"	"control"	"sensitive"	18748087	15758534	"field_2"	"Milva.control"	"field.control"	"sensitive.control"	"field.Milva"	"field.sensitive"	"JKIFeld2012.Milva"
"36"	36	"t05_s_c    "	5	"JKIFeld2012"	"field"	"Saturna"	"control"	"tolerant"	20200294	16967343	"field_2"	"Saturna.control"	"field.control"	"tolerant.control"	"field.Saturna"	"field.tolerant"	"JKIFeld2012.Saturna"
"37"	37	"t05_a_d    "	5	"JKIFeld2012"	"field"	"Alegria"	"drought stress"	"sensitive"	22057484	17561028	"field_2"	"Alegria.drought stress"	"field.drought stress"	"sensitive.drought stress"	"field.Alegria"	"field.sensitive"	"JKIFeld2012.Alegria"
"38"	38	"t05_d_d    "	5	"JKIFeld2012"	"field"	"Desiree"	"drought stress"	"tolerant"	19026246	15621340	"field_2"	"Desiree.drought stress"	"field.drought stress"	"tolerant.drought stress"	"field.Desiree"	"field.tolerant"	"JKIFeld2012.Desiree"
"39"	39	"t05_m_d    "	5	"JKIFeld2012"	"field"	"Milva"	"drought stress"	"sensitive"	18367098	15148756	"field_2"	"Milva.drought stress"	"field.drought stress"	"sensitive.drought stress"	"field.Milva"	"field.sensitive"	"JKIFeld2012.Milva"
"40"	40	"t05_s_d    "	5	"JKIFeld2012"	"field"	"Saturna"	"drought stress"	"tolerant"	20302847	16513184	"field_2"	"Saturna.drought stress"	"field.drought stress"	"tolerant.drought stress"	"field.Saturna"	"field.tolerant"	"JKIFeld2012.Saturna"
"41"	41	"t06_a_c    "	6	"MPIFeld2012"	"field"	"Alegria"	"control"	"sensitive"	19742474	16075381	"field_3"	"Alegria.control"	"field.control"	"sensitive.control"	"field.Alegria"	"field.sensitive"	"MPIFeld2012.Alegria"
