"sample_number"	"sample_name"	"trial_number"	"trial_name"	"cultivation"	"cultivar"	"condition"	"tolerance"	"libsize_raw"	"libsize_mapped"	"trial"	"cultivar_condition"	"cultivation_condition"	"tolerance_condition"	"cultivation_cultivar"	"cultivation_tolerance"	"trial_name_cultivar"
"9"	9	"t02_a_c    "	2	"JKI-GWH1"	"greenhouse"	"Alegria"	"control"	"sensitive"	12062887	9969338	"greenhouse_1"	"Alegria.control"	"greenhouse.control"	"sensitive.control"	"greenhouse.Alegria"	"greenhouse.sensitive"	"JKI-GWH1.Alegria"
"10"	10	"t02_d_c    "	2	"JKI-GWH1"	"greenhouse"	"Desiree"	"control"	"tolerant"	11695980	9734243	"greenhouse_1"	"Desiree.control"	"greenhouse.control"	"tolerant.control"	"greenhouse.Desiree"	"greenhouse.tolerant"	"JKI-GWH1.Desiree"
"11"	11	"t02_m_c    "	2	"JKI-GWH1"	"greenhouse"	"Milva"	"control"	"sensitive"	11094405	9214793	"greenhouse_1"	"Milva.control"	"greenhouse.control"	"sensitive.control"	"greenhouse.Milva"	"greenhouse.sensitive"	"JKI-GWH1.Milva"
"12"	12	"t02_s_c    "	2	"JKI-GWH1"	"greenhouse"	"Saturna"	"control"	"tolerant"	11798489	9621578	"greenhouse_1"	"Saturna.control"	"greenhouse.control"	"tolerant.control"	"greenhouse.Saturna"	"greenhouse.tolerant"	"JKI-GWH1.Saturna"
"13"	13	"t02_a_d    "	2	"JKI-GWH1"	"greenhouse"	"Alegria"	"drought stress"	"sensitive"	12257682	9798301	"greenhouse_1"	"Alegria.drought stress"	"greenhouse.drought stress"	"sensitive.drought stress"	"greenhouse.Alegria"	"greenhouse.sensitive"	"JKI-GWH1.Alegria"
"14"	14	"t02_d_d    "	2	"JKI-GWH1"	"greenhouse"	"Desiree"	"drought stress"	"tolerant"	11944563	9742435	"greenhouse_1"	"Desiree.drought stress"	"greenhouse.drought stress"	"tolerant.drought stress"	"greenhouse.Desiree"	"greenhouse.tolerant"	"JKI-GWH1.Desiree"
"15"	15	"t02_m_d   "	2	"JKI-GWH1"	"greenhouse"	"Milva"	"drought stress"	"sensitive"	11705361	9573502	"greenhouse_1"	"Milva.drought stress"	"greenhouse.drought stress"	"sensitive.drought stress"	"greenhouse.Milva"	"greenhouse.sensitive"	"JKI-GWH1.Milva"
"16"	16	"t02_s_d    "	2	"JKI-GWH1"	"greenhouse"	"Saturna"	"drought stress"	"tolerant"	12342816	10098348	"greenhouse_1"	"Saturna.drought stress"	"greenhouse.drought stress"	"tolerant.drought stress"	"greenhouse.Saturna"	"greenhouse.tolerant"	"JKI-GWH1.Saturna"
"17"	17	"t03_a_c    "	3	"MPITest1.2"	"greenhouse"	"Alegria"	"control"	"sensitive"	12255400	10198255	"greenhouse_2"	"Alegria.control"	"greenhouse.control"	"sensitive.control"	"greenhouse.Alegria"	"greenhouse.sensitive"	"MPITest1.2.Alegria"
"18"	18	"t03_d_c    "	3	"MPITest1.2"	"greenhouse"	"Desiree"	"control"	"tolerant"	12285214	10268355	"greenhouse_2"	"Desiree.control"	"greenhouse.control"	"tolerant.control"	"greenhouse.Desiree"	"greenhouse.tolerant"	"MPITest1.2.Desiree"
"19"	19	"t03_m_c   "	3	"MPITest1.2"	"greenhouse"	"Milva"	"control"	"sensitive"	12470075	10347211	"greenhouse_2"	"Milva.control"	"greenhouse.control"	"sensitive.control"	"greenhouse.Milva"	"greenhouse.sensitive"	"MPITest1.2.Milva"
"20"	20	"t03_s_c    "	3	"MPITest1.2"	"greenhouse"	"Saturna"	"control"	"tolerant"	11669434	9678713	"greenhouse_2"	"Saturna.control"	"greenhouse.control"	"tolerant.control"	"greenhouse.Saturna"	"greenhouse.tolerant"	"MPITest1.2.Saturna"
"21"	21	"t03_a_d    "	3	"MPITest1.2"	"greenhouse"	"Alegria"	"drought stress"	"sensitive"	11625726	9800951	"greenhouse_2"	"Alegria.drought stress"	"greenhouse.drought stress"	"sensitive.drought stress"	"greenhouse.Alegria"	"greenhouse.sensitive"	"MPITest1.2.Alegria"
"22"	22	"t03_d_d    "	3	"MPITest1.2"	"greenhouse"	"Desiree"	"drought stress"	"tolerant"	11784131	9874419	"greenhouse_2"	"Desiree.drought stress"	"greenhouse.drought stress"	"tolerant.drought stress"	"greenhouse.Desiree"	"greenhouse.tolerant"	"MPITest1.2.Desiree"
"23"	23	"t03_m_d    "	3	"MPITest1.2"	"greenhouse"	"Milva"	"drought stress"	"sensitive"	12462653	10311058	"greenhouse_2"	"Milva.drought stress"	"greenhouse.drought stress"	"sensitive.drought stress"	"greenhouse.Milva"	"greenhouse.sensitive"	"MPITest1.2.Milva"
"24"	24	"t03_s_d    "	3	"MPITest1.2"	"greenhouse"	"Saturna"	"drought stress"	"tolerant"	12170236	10069960	"greenhouse_2"	"Saturna.drought stress"	"greenhouse.drought stress"	"tolerant.drought stress"	"greenhouse.Saturna"	"greenhouse.tolerant"	"MPITest1.2.Saturna"
"25"	25	"t04_a_c    "	4	"MPITest2"	"greenhouse"	"Alegria"	"control"	"sensitive"	11812052	9756917	"greenhouse_3"	"Alegria.control"	"greenhouse.control"	"sensitive.control"	"greenhouse.Alegria"	"greenhouse.sensitive"	"MPITest2.Alegria"
"26"	26	"t04_d_c    "	4	"MPITest2"	"greenhouse"	"Desiree"	"control"	"tolerant"	12199070	10189411	"greenhouse_3"	"Desiree.control"	"greenhouse.control"	"tolerant.control"	"greenhouse.Desiree"	"greenhouse.tolerant"	"MPITest2.Desiree"
"27"	27	"t04_m_c    "	4	"MPITest2"	"greenhouse"	"Milva"	"control"	"sensitive"	12282323	10260882	"greenhouse_3"	"Milva.control"	"greenhouse.control"	"sensitive.control"	"greenhouse.Milva"	"greenhouse.sensitive"	"MPITest2.Milva"
"28"	28	"t04_s_c    "	4	"MPITest2"	"greenhouse"	"Saturna"	"control"	"tolerant"	11982641	9822040	"greenhouse_3"	"Saturna.control"	"greenhouse.control"	"tolerant.control"	"greenhouse.Saturna"	"greenhouse.tolerant"	"MPITest2.Saturna"
"29"	29	"t04_a_d    "	4	"MPITest2"	"greenhouse"	"Alegria"	"drought stress"	"sensitive"	12067964	10021106	"greenhouse_3"	"Alegria.drought stress"	"greenhouse.drought stress"	"sensitive.drought stress"	"greenhouse.Alegria"	"greenhouse.sensitive"	"MPITest2.Alegria"
"30"	30	"t04_d_d   "	4	"MPITest2"	"greenhouse"	"Desiree"	"drought stress"	"tolerant"	11742997	9776262	"greenhouse_3"	"Desiree.drought stress"	"greenhouse.drought stress"	"tolerant.drought stress"	"greenhouse.Desiree"	"greenhouse.tolerant"	"MPITest2.Desiree"
"31"	31	"t04_m_d    "	4	"MPITest2"	"greenhouse"	"Milva"	"drought stress"	"sensitive"	12353727	10290522	"greenhouse_3"	"Milva.drought stress"	"greenhouse.drought stress"	"sensitive.drought stress"	"greenhouse.Milva"	"greenhouse.sensitive"	"MPITest2.Milva"
"32"	32	"t04_s_d    "	4	"MPITest2"	"greenhouse"	"Saturna"	"drought stress"	"tolerant"	12216392	10178034	"greenhouse_3"	"Saturna.drought stress"	"greenhouse.drought stress"	"tolerant.drought stress"	"greenhouse.Saturna"	"greenhouse.tolerant"	"MPITest2.Saturna"
