Row.names	logFC_field	logCPM_field	PValue_field	FDR_field	logFC_gh	logCPM_gh	PValue_gh	FDR_gh	logFC_mean	logFC_sum	pgsc_dmp	pgsc_dmt	pgsc_dmc	func	BINCODE	NAME	DESCRIPTION	TYPE
PGSC0003DMG400000379	-0.508220923334724	5.49953973778878	0.000161697902963971	0.017486376569066	-0.634856612185348	5.5147020206567	0.000367037047937616	0.0126485860546608	-0.571538767760036	-1.14307753552007	PGSC0003DMP400000755	PGSC0003DMT400001024	PGSC0003DMC400000755	PERK1_kinase	29.4.1.57	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII	highly similar to ( 590) AT3G24550 | Symbols: ATPERK1 | ATPERK1 (PROLINE EXTENSIN-LIKE RECEPTOR KINASE 1); ATP binding / protein kinase | chr3:8960411-8963303 FORWARDmoderately similar to ( 256) PSKR_DAUCA Phytosulfokine receptor precursor (EC 2.7.11.1) (Phytosulfokine LRR receptor kinase) - Daucus carota (Carrot)highly similar to ( 596) loc_os05g12680 12005.m05731 protein receptor protein kinase PERK1, putative, expressedTyrKc Pkinase_Tyr S_TKc S_TKc PTKc Pkinase PTKc_Src_like PTKc_Csk_like PTKc_Srm_Brk PTKc_Jak_rpt2 PTKc_Itk PTKc_Frk_like PTKc_EGFR_like PTKc_Syk_like PTKc_Trk PTKc_EphR PTKc_InsR_like PTKc_Tec_like PTKc_Jak2_Jak3_rpt2 PTKc_Abl PTKc_Fyn_Yrk SPS1 PTKc_Lck_Blk PTKc_Fes_like PTKc_Src PTKc_Btk_Bmx PTKc_c-ros PTKc_Ack_like PTKc_Chk PTKc_Yes PTKc_Ror PTKc_EphR_A2 PTKc_TrkB PTKc_TrkA PTKc_Tec_Rlk PTKc_Csk PTKc_FAK PTKc_Tyk2_rpt2 PTKc_DDR PTKc_Fer PTK_HER3 PTKc_Lyn PTKc_TrkC PTKc_FGFR PTKc_Musk PTKc_EphR_B PTKc_Tie2 PTKc_Tie1 PTKc_RET PTKc_Jak1_rpt2 PTKc_Tie PTKc_HER4 PTKc_EphR_A PTKc_EGFR PTKc_DDR_like PTKc_ALK_LTK PTKc_Hck PTKc_Met_Ron PTKc_PDGFR PTKc_Zap-70 PTKc_InsR PTKc_HER2 PTKc_IGF-1R PTKc_Axl_like PTK_CCK4                                            PGSC0003DMT400001024	TRUE
PGSC0003DMG400000811	-1.08290251495702	4.37104028697775	8.97334286861135e-07	0.000527102317686657	-2.54067533038438	4.36595418387682	6.55990336300073e-08	2.38798961014249e-05	-1.8117889226707	-3.6235778453414	PGSC0003DMP400001547	PGSC0003DMT400002125	PGSC0003DMC400001547	RAV_transcription_factor	27.3.3	RNA.regulation of transcription.AP2/EREBP, APETALA2/Ethylene-responsive element binding protein family	moderately similar to ( 381) AT1G68840 | Symbols: RAV2, RAP2.8, TEM2 | RAV2 (REGULATOR OF THE ATPASE OF THE VACUOLAR MEMBRANE); DNA binding / transcription factor/ transcription repressor | chr1:25880442-25881500 FORWARDmoderately similar to ( 337) loc_os01g49830 12001.m11168 protein DNA-binding protein RAV1, putative, expressedB3 AP2 AP2  PGSC0003DMT400002125	TRUE
PGSC0003DMG400001434	-1.07488898083129	5.3016090531042	1.2396495515191e-07	0.000152571344326489	-1.54819882922917	4.58351702718742	6.37585568577271e-06	0.000651345320373445	-1.31154390503023	-2.62308781006046	PGSC0003DMP400002598	PGSC0003DMT400003637	PGSC0003DMC400002598	WRKY_transcription_factor-c	27.3.32	RNA.regulation of transcription.WRKY domain transcription factor family	moderately similar to ( 282) AT2G03340 | Symbols: WRKY3 | WRKY3; transcription factor | chr2:1014724-1016936 REVERSEmoderately similar to ( 253) loc_os12g32250 12012.m07031 protein SPF1-like DNA-binding protein, putative, expressedWRKY  PGSC0003DMT400003637	TRUE
PGSC0003DMG400001434	-1.07488898083129	5.3016090531042	1.2396495515191e-07	0.000152571344326489	-1.54819882922917	4.58351702718742	6.37585568577271e-06	0.000651345320373445	-1.31154390503023	-2.62308781006046	PGSC0003DMP400002597	PGSC0003DMT400003636	PGSC0003DMC400002597	WRKY_transcription_factor-c	27.3.32	RNA.regulation of transcription.WRKY domain transcription factor family	very weakly similar to (80.9) loc_os04g39570 12004.m35157 protein OsWRKY35v1 - Superfamily of rice TFs having WRKY and zinc finger domains, expressed PGSC0003DMT400003636	TRUE
PGSC0003DMG400001774	-1.9148641645616	1.42706058816855	7.74254947027466e-09	1.81921757826108e-05	-1.7243997734993	0.793843189880058	2.83032415215455e-06	0.000367600794153702	-1.81963196903045	-3.6392639380609	PGSC0003DMP400003170	PGSC0003DMT400004447	PGSC0003DMC400003170	Peroxidase	26.12	misc.peroxidases	moderately similar to ( 471) AT2G37130 | Symbols:  | peroxidase 21 (PER21) (P21) (PRXR5) | chr2:15598225-15599734 REVERSEweakly similar to ( 187) PER1_ARAHY Cationic peroxidase 1 precursor (EC 1.11.1.7) (PNPC1) - Arachis hypogaea (Peanut)moderately similar to ( 385) loc_os07g49360 12007.m09145 protein peroxidase 21 precursor, putative, expressedsecretory_peroxidase plant_peroxidase peroxidase  PGSC0003DMT400004447	TRUE
PGSC0003DMG400001774	-1.9148641645616	1.42706058816855	7.74254947027466e-09	1.81921757826108e-05	-1.7243997734993	0.793843189880058	2.83032415215455e-06	0.000367600794153702	-1.81963196903045	-3.6392639380609	PGSC0003DMP400003169	PGSC0003DMT400004446	PGSC0003DMC400003169	Peroxidase	26.12	misc.peroxidases	moderately similar to ( 394) AT2G37130 | Symbols:  | peroxidase 21 (PER21) (P21) (PRXR5) | chr2:15598225-15599734 REVERSEweakly similar to ( 157) PER1_ARAHY Cationic peroxidase 1 precursor (EC 1.11.1.7) (PNPC1) - Arachis hypogaea (Peanut)moderately similar to ( 336) loc_os07g49360 12007.m09145 protein peroxidase 21 precursor, putative, expressedsecretory_peroxidase plant_peroxidase peroxidase  PGSC0003DMT400004446	TRUE
PGSC0003DMG400003626	-1.28811119083025	5.79756839306855	0.000728298758066629	0.044592617167343	-1.13062203395392	5.78517943400593	0.000832467893754791	0.0221814074041096	-1.20936661239208	-2.41873322478417	PGSC0003DMP400006482	PGSC0003DMT400009330	PGSC0003DMC400006482	Lactoylglutathione_lyase	24.2	Biodegradation of Xenobiotics.lactoylglutathione lyase	weakly similar to ( 150) AT1G15380 | Symbols:  | lactoylglutathione lyase family protein / glyoxalase I family protein | chr1:5290955-5292287 FORWARDweakly similar to ( 159) loc_os05g07940 12005.m27715 protein lactoylglutathione lyase, putative, expressed PGSC0003DMT400009330	TRUE
PGSC0003DMG400003626	-1.28811119083025	5.79756839306855	0.000728298758066629	0.044592617167343	-1.13062203395392	5.78517943400593	0.000832467893754791	0.0221814074041096	-1.20936661239208	-2.41873322478417	PGSC0003DMP400006481	PGSC0003DMT400009329	PGSC0003DMC400006481	Lactoylglutathione_lyase	35.2	not assigned.unknown	PGSC0003DMT400009329	TRUE
PGSC0003DMG400004659	-0.979864488713251	6.09122340077193	5.25336245874112e-06	0.00159739301304262	-1.30520151199026	6.00847557286902	9.07112764012176e-06	0.000849465090531112	-1.14253300035175	-2.28506600070351	PGSC0003DMP400008248	PGSC0003DMT400011867	PGSC0003DMC400008248	UDP-D-glucuronic_acid_4-epimerase	10.1.6	cell wall.precursor synthesis.GAE	highly similar to ( 644) AT3G23820 | Symbols: GAE6 | GAE6 (UDP-D-GLUCURONATE 4-EPIMERASE 6); UDP-glucuronate 4-epimerase/ catalytic | chr3:8603645-8605027 FORWARDvery weakly similar to (99.8) GALE1_PEA UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase) - Pisum sativum (Garden pea)highly similar to ( 544) loc_os02g54890 12002.m10517 protein expressed proteinWcaG GalE Epimerase RfbB PRK10675 Gmd PRK10217      PGSC0003DMT400011867	TRUE
PGSC0003DMG400004822	-3.95342961881764	5.6307707984507	1.69630813861548e-05	0.00362337026038478	-1.67621190642202	1.14734757172463	0.00266767410979963	0.0497106741469944	-2.81482076261983	-5.62964152523966	PGSC0003DMP400008551	PGSC0003DMT400012303	PGSC0003DMC400008551	Oxidoreductase	35.2	not assigned.unknown	highly similar to ( 582) AT4G17370 | Symbols:  | oxidoreductase family protein | chr4:9706188-9708142 FORWARDhighly similar to ( 582) loc_os08g05280 12008.m04671 protein oxidoreductase family, NAD-binding Rossmann fold containing protein, expressedMviM GFO_IDH_MocA   PGSC0003DMT400012303	TRUE
