Row.names	logFC	logCPM	PValue	FDR	func	BINCODE	NAME
PGSC0003DMG400000013	-1.81085058973763	0.0778597800240728	0.00149469552765105	0.0335055512642404	Globulin	33.1	development.storage proteins
PGSC0003DMG400000053	-0.794552021510387	3.75654325066431	0.00163737148539295	0.0356524881309741	Conserved_gene_of_unknown_function	35.2	not assigned.unknown
PGSC0003DMG400000090	-0.525703485981676	5.57175015813277	0.00030189215544088	0.0110833872862571	Ubiquitin_carrier_protein	29.5.11.3	protein.degradation.ubiquitin.E2
PGSC0003DMG400000101	-0.8891829691332	3.46820040211738	0.00148488153784085	0.0333870125717009	Triacylglycerol_lipase	11.9.2.1	lipid metabolism.lipid degradation.lipases.triacylglycerol lipase
PGSC0003DMG400000114	-0.408851946831891	5.68865617844281	0.00212196825636914	0.0429040133967389	Phosphatidylinositol_3-and_4-kinase_family_protein	29.5.11	protein.degradation.ubiquitin
PGSC0003DMG400000123	-1.08848489628817	3.85600652212182	8.1607479189562e-06	0.000784535718763801	Calcium-transporting_ATPase__endoplasmic_reticulum-type	30.3	signalling.calcium
PGSC0003DMG400000144	-0.999328916629511	0.373613266356958	0.00177074876743647	0.0377492341218467	Flavonol_3-sulfotransferase	11.8	lipid metabolism.'exotics' (steroids, squalene etc)
PGSC0003DMG400000146	-0.848813507671079	2.67406612462774	0.000493064559381658	0.0156942692140127	Cytochrome_P450_monooxygenase	26.10	misc.cytochrome P450
PGSC0003DMG400000184	-1.34050426554455	6.42792606246534	2.47493866699033e-06	0.000333162837432458	Ferric-chelate_reductase	15.1	metal handling.acquisition
PGSC0003DMG400000288	-0.550458118420637	7.21146345159681	0.00226866388674465	0.0447679411251027	Gamma_glutamyl_transpeptidases	21.2.2	redox.ascorbate and glutathione.glutathione
PGSC0003DMG400000292	-0.500506384816984	7.04430995990659	0.00152401372674201	0.034015249379425	Conserved_gene_of_unknown_function	35.2	not assigned.unknown
PGSC0003DMG400000342	-0.502111220745411	3.89010731034169	0.0012094372560192	0.0287044217805989	Grave_disease_carrier_protein	34.9	transport.metabolite transporters at the mitochondrial membrane
PGSC0003DMG400000379	-0.634856612185348	5.5147020206567	0.000367037047939145	0.0126485860547135	PERK1_kinase	29.4.1.57	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII
PGSC0003DMG400000417	-0.979078796911581	3.72730967589459	0.000834352683019889	0.0222087326934419	Superoxide_dismutase_[Cu-Zn]	21.6	redox.dismutases and catalases
PGSC0003DMG400000448	-0.688108989691108	7.4168535350448	2.14593871081098e-06	0.000304746878679234	Serine_carboxypeptidase_III	29.5.5	protein.degradation.serine protease
PGSC0003DMG400000460	-0.573865990020207	4.21401818792366	0.000440827549763801	0.0144223150015129	RING-H2_finger_protein_ATL57	29.5.11.4.2	protein.degradation.ubiquitin.E3.RING
PGSC0003DMG400000476	-1.15980927770931	1.12759560248956	4.40232335049006e-05	0.00274836834098469	Conserved_gene_of_unknown_function	33.2	development.late embryogenesis abundant
PGSC0003DMG400000484	-0.778794419526596	5.2263122395767	0.00217866337628036	0.0435833851573857	Triose_phosphate_phosphate_translocator__non-green_plastid__chloroplast	34.8	transport.metabolite transporters at the envelope membrane
PGSC0003DMG400000494	-0.450265019222552	7.16350836303522	0.000119319454784274	0.00582973653753185	Serine-type_peptidase	29.5.5	protein.degradation.serine protease
PGSC0003DMG400000523	-0.942880553299225	2.45494040142045	0.00146119699799124	0.0330701380123307	Kinesin_light_chain	31.1	cell.organisation
PGSC0003DMG400000537	-0.372709180052023	6.38305943897629	0.00187909289567284	0.0393988978780049	Guanosine-3__5_-bis(Diphosphate)_3_-pyrophosphohydrolase	35.2	not assigned.unknown
PGSC0003DMG400000570	-1.18146060033086	4.6038669748837	0.000726590456492783	0.0202234854717954	Conserved_gene_of_unknown_function	35.2	not assigned.unknown
PGSC0003DMG400000578	-0.562195323923822	5.84418254000832	0.00092326719351234	0.023969917104353	Serine-threonine_protein_kinase__plant-type	30.2.17	signalling.receptor kinases.DUF 26
PGSC0003DMG400000653	-1.15865460174155	4.75193609394395	3.59309831563527e-07	8.14624728648326e-05	Agmatine_deiminase	22.1.4	polyamine metabolism.synthesis.agmatine deiminase
PGSC0003DMG400000676	-1.11929585366852	4.09997427886565	8.1137642668358e-06	0.000784535718763801	Ribonuclease_3_3	27.1.19	RNA.processing.ribonucleases
PGSC0003DMG400000709	-1.58375150266402	0.711611191342583	0.000902039978363519	0.0235734330442705	DNA_binding_protein	27.3.26	RNA.regulation of transcription.MYB-related transcription factor family
PGSC0003DMG400000783	-1.56571904687508	8.39181803832568	3.47328009067137e-05	0.00232565795915783	Extensin	35.2	not assigned.unknown
PGSC0003DMG400000811	-2.54067533038438	4.36595418387682	6.55990336300073e-08	2.38798961014249e-05	RAV_transcription_factor	27.3.3	RNA.regulation of transcription.AP2/EREBP, APETALA2/Ethylene-responsive element binding protein family
PGSC0003DMG400000836	-0.738469516734225	3.10571457965619	0.00238425941229471	0.0462639405181449	Armadillo_repeat-containing_protein	29.5.11.4.2	protein.degradation.ubiquitin.E3.RING
PGSC0003DMG400000869	-2.9314680308726	0.64887278593885	7.15871463084212e-05	0.00398051518883633	Quinonprotein_alcohol_dehydrogenase	35.2	not assigned.unknown
PGSC0003DMG400000997	-1.31102133089776	3.91598969773868	0.000292779817424363	0.010825732705508	Zinc_finger_protein	26.28	misc.GDSL-motif lipase
PGSC0003DMG400001006	-0.807855170160952	4.5952827474504	0.000259869528855139	0.010009817947526	Non-lysosomal_glucosylceramidase	35.2	not assigned.unknown
PGSC0003DMG400001015	-1.81697720819379	-0.0665046893470784	1.49457732628462e-06	0.00023844966404415	Phosphatase	26.13	misc.acid and other phosphatases
PGSC0003DMG400001016	-1.46661980825146	0.602539607926392	0.000843329242308672	0.0223679052193811	Conserved_gene_of_unknown_function	30.2.11	signalling.receptor kinases.leucine rich repeat XI
PGSC0003DMG400001038	-0.94441536124754	3.05640401180957	0.000139175021258704	0.00649299205677342	Early_nodulin_55-2	26.19	misc.plastocyanin-like
PGSC0003DMG400001066	-1.04713393601758	3.3355792928172	0.00101475891993094	0.0253896021728316	Potassium_channel	34.15	transport.potassium
PGSC0003DMG400001127	-0.896583091575477	3.43568032588554	4.72333971803837e-06	0.000521707001506067	Histone_H1F	28.1.3	DNA.synthesis/chromatin structure.histone
PGSC0003DMG400001197	-0.850063266160557	1.65020490737102	0.000792238007055808	0.0213738867749107	Conserved_gene_of_unknown_function	33.99	development.unspecified
PGSC0003DMG400001197	-0.850063266160557	1.65020490737102	0.000792238007055808	0.0213738867749107	Conserved_gene_of_unknown_function	29.3.2	protein.targeting.mitochondria
PGSC0003DMG400001197	-0.850063266160557	1.65020490737102	0.000792238007055808	0.0213738867749107	Conserved_gene_of_unknown_function	10.8.1	cell wall.pectin*esterases.PME
PGSC0003DMG400001197	-0.850063266160557	1.65020490737102	0.000792238007055808	0.0213738867749107	Conserved_gene_of_unknown_function	31.1	cell.organisation
PGSC0003DMG400001314	-0.43686743266127	5.78755318622801	0.000196011422664933	0.0081946673740609	Ubiquitin_carrier_protein	29.5.11.3	protein.degradation.ubiquitin.E2
PGSC0003DMG400001369	-0.969148602261273	5.27886268810769	0.000749072270808221	0.0206402152572593	Kinase	29.4.1.57	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII
PGSC0003DMG400001369	-0.969148602261273	5.27886268810769	0.000749072270808221	0.0206402152572593	Kinase	30.2.16	signalling.receptor kinases.Catharanthus roseus-like RLK1
PGSC0003DMG400001393	-0.844853198258522	5.6039306131076	3.58769715245321e-07	8.14624728648326e-05	Amino_acid_permease	34.13	transport.peptides and oligopeptides
PGSC0003DMG400001434	-1.54819882922917	4.58351702718742	6.37585568577369e-06	0.000651345320373545	WRKY_transcription_factor-c	27.3.32	RNA.regulation of transcription.WRKY domain transcription factor family
PGSC0003DMG400001443	-0.503160390046543	4.37816376940947	0.000299293519071944	0.0110192881679964	Membrane-anchored_ubiquitin-fold_protein_2	29.5.11	protein.degradation.ubiquitin
PGSC0003DMG400001462	-1.36328230831521	4.11771081656048	0.000510502487847113	0.0159739071439425	Conserved_gene_of_unknown_function	35.2	not assigned.unknown
PGSC0003DMG400001756	-1.48629462859935	0.380498162345157	0.0017909624037414	0.0380042810238918	TIR_NBS_LRR_protein	20.1.7	stress.biotic.PR-proteins
PGSC0003DMG400001774	-1.7243997734993	0.793843189880058	2.83032415215443e-06	0.000367600794153685	Peroxidase	26.12	misc.peroxidases
PGSC0003DMG400001775	-0.449328178616345	5.63122377320396	0.000969698203734611	0.0247167847867108	Protein_containing_C-terminal_RING-finger	29.5.11.4.2	protein.degradation.ubiquitin.E3.RING
PGSC0003DMG400001809	-0.725605681768692	6.05671761643008	0.00144618445930333	0.0328593935468269	Xyloglucan_endotransglucosylase-hydrolase_XTH5	10.7	cell wall.modification
PGSC0003DMG400001865	-0.624894711656235	3.11133899097806	0.00202653422602479	0.0415919151990544	2-deoxyglucose-6-phosphate_phosphatase	35.2	not assigned.unknown
PGSC0003DMG400001913	-1.17303847030478	4.88635147284243	8.42023679502999e-07	0.000162410030003243	Transcription_factor	27.3.26	RNA.regulation of transcription.MYB-related transcription factor family
PGSC0003DMG400001923	-1.72151781404648	3.09213732848471	0.000464625527698926	0.0150863208403347	Matrix_metalloprotease_1	29.5.7	protein.degradation.metalloprotease
PGSC0003DMG400001948	-2.06683072561886	1.12150917936769	0.000992081750400783	0.025040375899276	Copalyl_diphosphate_synthase	16.1.5	secondary metabolism.isoprenoids.terpenoids
PGSC0003DMG400001948	-2.06683072561886	1.12150917936769	0.000992081750400783	0.025040375899276	Copalyl_diphosphate_synthase	17.6.1.1	hormone metabolism.gibberelin.synthesis-degradation.copalyl diphosphate synthase
PGSC0003DMG400001948	-2.06683072561886	1.12150917936769	0.000992081750400783	0.025040375899276	Copalyl_diphosphate_synthase	35.2	not assigned.unknown
